Soil type,Gs (g/cm3),d85 (mm),Cu
MG112,2.729 ± 0.034,8.181 ± 6.679,0.0717  ± 0.0581
MG20,2.817 ± 0.036,19.527 ± 1.639,0.1099 ± 0.0181
