Proctor_ID,Soil_ID,Density_kg/m3,Gs,MassWC_%,VolWC_%,DegreeSat_%,Probe,IsPVC,Metatype,Site
65,06,2033,2.817,10.9,22.16,80,2789,1,MG20,Drumondville
66,06,2284.26,2.817,6.78,15.49,81.9,2139.1,0,MG20,Drumondville
67,06,2174.98,2.817,3.2,6.96,30.56,1991.35,0,MG20,Drumondville
68,06,2215.42,2.817,4.57,10.12,47.38,2049.15,0,MG20,Drumondville
69,06,2139.15,2.817,6.31,13.51,56.13,2043.1,0,MG20,Drumondville
70,06,2241.63,2.817,7.02,15.73,77.02,2102.85,0,MG20,Drumondville
71,07,1702.36,2.707,1.97,3.36,9.05,1929.85,0,MG20,Sherbrooke
72,07,2062.11,2.707,3.12,6.44,27.05,2008.95,0,MG20,Sherbrooke
73,07,2143.11,2.707,4.16,8.92,42.81,2027.45,0,MG20,Sherbrooke
74,07,2060.4,2.707,4.83,9.96,41.69,2038.6,0,MG20,Sherbrooke
75,07,2125.24,2.707,3.2,6.8,31.63,2027.9,0,MG20,Sherbrooke
76,07,2126.9,2.707,4.6,9.78,45.65,2058.2,0,MG20,Sherbrooke
77,07,2187.66,2.707,5.74,12.56,65.47,2138.65,0,MG20,Sherbrooke
78,07,2118.07,2.707,6.23,13.2,60.68,2529.2,0,MG20,Sherbrooke
79,07,2218.32,2.707,6.61,14.67,81.28,2573.8,0,MG20,Sherbrooke
80,07,2255.3,2.707,4.62,10.43,62.5,2154.9,0,MG20,Sherbrooke
81,07,2096,2.707,5.76,12.07,53,2142.1,1,MG20,Sherbrooke
82,07,2096,2.707,8.21,17.21,76,2732,1,MG20,Sherbrooke
83,07,2219.92,2.707,5.31,11.78,65.49,2100.5,0,MG20,Sherbrooke
84,07,2080,2.707,6.05,12.57,54,2149,1,MG20,Sherbrooke
85,07,2063,2.707,6.57,13.56,57,2090,1,MG20,Sherbrooke
86,07,2231.35,2.707,5.72,12.75,72.59,2171.1,0,MG20,Sherbrooke
87,07,2080.84,2.707,4.79,9.97,43.09,2103.9,0,MG20,Sherbrooke
88,07,2149.66,2.707,5.35,11.51,55.91,2048.8,0,MG20,Sherbrooke
89,07,1973.55,2.707,3.15,6.21,22.94,1974.4,0,MG20,Sherbrooke
90,07,1991.31,2.707,4.47,8.91,33.7,2041.7,0,MG20,Sherbrooke
91,07,2038.98,2.707,6,12.24,49.58,2108.4,0,MG20,Sherbrooke
