Proctor_ID,Soil_ID,Density_kg/m3,MassWC_%,VolWC_%,DegreeSat_%,Probe,IsPVC
116,9,2197.57,4.56,10.02,45.04,2015.8,0
117,9,2210.64,6.56,14.5,66.56,2283.8,0
118,9,2263.16,7.42,16.79,84.25,2591.1,0
119,10,2108.56,3.04,6.4,27.2,2058.7,0
120,,2057,7.29,14.79,58.15,2322.6,1
121,,2057,10.02,20.62,81,2683,1
122,10,2099.31,4.33,9.1,38.11,2086.6,0
123,10,2136.64,5.86,12.53,55.62,2150,0
124,10,2161.57,6.31,13.64,63.12,2185.75,0
125,10,1878.09,6.84,12.85,40.28,2132.55,0
126,10,2142.84,9.08,19.45,87.22,2327,0
127,10,2099.75,10.11,21.23,89,2264.7,0
128,11,1757.63,3.17,5.58,16.07,1987.25,0
129,11,1690.38,5.63,9.52,25.59,2065.8,0
130,11,1749.67,6.92,12.11,34.6,2116.75,0
131,11,1861,11.38,21.43,69.5,2549.65,1
132,11,1861,12.74,23.71,77,2637,1
133,11,1771.94,7.86,13.92,40.77,2203.7,0
134,11,1786.01,10,17.86,53.1,2222.75,0
135,11,1856.79,10.35,19.22,62.01,2285.25,0
136,11,1826.52,11.46,20.94,65.18,2468.2,0
137,11,1863.8,11.54,21.51,69.96,2582.85,0
138,11,1834.34,13.14,24.1,75.69,2651.55,0
139,11,1868.68,13.33,24.91,81.5,2671.55,0
140,11,1851.7,11.08,20.51,65.77,2552.6,0
141,12,1901.39,6.54,12.43,37.95,2086.3,0
142,12,2000.48,8.47,16.94,57.9,2092.4,0
143,12,2103.56,9.2,19.35,75.55,2138.7,0
144,12,2919.5,14.06,28.4,99.35,2364.85,0
145,13,1861.77,10.93,20.35,74.3,2078.2,0
146,13,1812.59,13.52,24.5,83.58,2108.05,0
147,14,1942.53,6.05,11.75,41.8,2141.25,0
148,14,1865.5,9.89,18.45,59.58,2118.6,0
149,14,2014.59,11.12,22.39,87.98,2295.35,0
150,15,1994.06,2.8,5.59,19.73,1981.6,0
151,15,2157.67,4.6,9.93,44.27,2109.2,0
152,15,2102,6.61,13.6,55.71,2122,1
153,15,2102,9.12,19.18,79,2821,1
154,15,2199.82,5.88,12.94,61.88,2224.6,0
155,15,2206.19,7.36,16.25,78.56,2190.95,0
156,15,2136.48,10.23,21.85,94.23,2637.9,0
